relname,rls_enabled,force_rls,has_organization_id,has_user_col,policies,cmds,anon_select,authenticated_grant,service_role_grant
qualification_score_ranges,t,f,t,f,1,ALL,f,f,f
rate_limit_log,t,f,f,f,1,ALL,f,f,f
release_notes,t,f,t,f,7,DELETE|INSERT|SELECT|UPDATE,f,f,f
release_notes_ingestion_log,t,f,f,f,2,ALL|SELECT,f,f,f
report_reconciliation_logs,t,f,t,f,1,SELECT,f,f,f
revenue_events,t,f,t,t,3,INSERT|SELECT,f,f,f
roleplay_messages,t,f,f,f,3,DELETE|INSERT|SELECT,f,f,f
roleplay_sessions,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
run_events,t,f,f,f,2,INSERT|SELECT,f,f,f
sales_config,t,f,t,f,2,ALL|SELECT,f,f,f
sales_goals,t,f,t,t,2,ALL|SELECT,f,f,f
scheduled_demos,t,f,t,f,2,INSERT|SELECT,f,f,f
scheduled_exports,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
score_alerts,t,f,t,t,3,INSERT|SELECT|UPDATE,f,f,f
score_calculation_history,t,f,t,f,2,INSERT|SELECT,f,f,f
score_history,t,f,t,f,2,INSERT|SELECT,f,f,f
score_recalc_jobs,t,f,t,f,2,INSERT|SELECT,f,f,f
scoring_rules,t,f,t,f,1,ALL,f,f,f
seat_events,t,f,t,t,3,ALL|SELECT,f,f,f
security_audit_log,t,f,t,t,2,INSERT|SELECT,f,f,f
seller_achievements,t,f,f,f,3,INSERT|SELECT|UPDATE,f,f,f
seller_badges,t,f,f,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
seller_evaluations,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
seller_missions,t,f,f,f,3,INSERT|SELECT|UPDATE,f,f,f
seller_performance_scores,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
seller_score_history,t,f,t,f,2,INSERT|SELECT,f,f,f
seller_stats,t,f,t,f,2,ALL|SELECT,f,f,f
seller_targets,t,f,t,t,2,ALL|SELECT,f,f,f
sellers,t,f,t,t,4,INSERT|SELECT|UPDATE,f,f,f
sequence_enrollments,t,f,t,f,2,ALL|SELECT,f,f,f
sequences,t,f,t,f,2,ALL|SELECT,f,f,f
settings,t,f,t,t,2,ALL|SELECT,f,f,f
simulated_clients,t,f,t,f,2,INSERT|SELECT,f,f,f
slg_conversions,t,f,t,f,2,ALL|SELECT,f,f,f
source_pages,t,f,t,f,1,ALL,f,f,f
sourcing_playbooks,t,f,t,f,1,ALL,f,f,f
